Date,Area,Location,CommonName,SpeciesName,Fate,Reason.for.euthanasia,Marine.Park,Latitude,Longitude
16/2/2024,Capricorn Coast,Kemp Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
19/2/2024,Capricorn Coast,Cad 3 Mullambin Beach,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
19/2/2024,Gladstone,Tannum Sands,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
20/2/2024,Capricorn Coast,Emu Park,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Capricorn Coast,Emu Park,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Capricorn Coast,Tanby Point,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Capricorn Coast,Yeppoon Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Capricorn Coast,Cad 7 Fishermans Beach,Dusky Whaler,Carcharhinus Obscurus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Cairns,Cad 7- Palm Cove,Dusky Whaler,Carcharhinus Obscurus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
20/2/2024,Capricorn Coast,Kemp Beach,Sharptooth Shark,Negaprion Acutidens,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Mackay,Eimeo Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Cad 9  Emu Park,Bull Whaler,Carcharhinus Leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Farnborough Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Emu Park,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Fishermans Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Tanby Point,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Gladstone,Tannum Sands,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
21/2/2024,Mackay,Cad 5- Eimeo Beach,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
21/2/2024,Capricorn Coast,Farnborough Beach,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
22/2/2024,Townsville,Horseshoe Bay,Catfish,Ariidae - Undifferentiated,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
22/2/2024,Capricorn Coast,Kemp Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
22/2/2024,Capricorn Coast,Kemp Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
22/2/2024,Cairns,Ellis Beach,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
23/2/2024,Capricorn Coast,Mullambin Beach,Pigeye Whaler,Carcharhinus Amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
23/2/2024,Cairns,Ellis Beach,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
24/2/2024,Mackay,Blacks Beach,Bull Whaler,Carcharhinus Leucas,Deceased,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
24/2/2024,Mackay,Blacks Beach,Tawny Shark,Nebrius Ferrugineus,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
24/2/2024,Capricorn Coast,Fishermans Beach,Tiger Shark,Galeocerdo Cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (Gbrmp),,NA,NA
26/2/2024,Gladstone,Tannum Sands,Bull Whaler,Carcharhinus Leucas,Deceased,Great Barrier Reef Coast Marine Park (Gbrcmp),,NA,NA
